92b03bfe-5edb-4290-8dd7-b7cbec8c8445 | tumpah | 1 | kemasan
92b03bfe-5edb-4290-8dd7-b7cbec8c8445 | bocor | 1 | kemasan
92b03bfe-5edb-4290-8dd7-b7cbec8c8445 | rusak | 1 | kemasan
376750df-4ad2-4ffa-95e4-c6ad107e2491 | pecah | 1 | kemasan
376750df-4ad2-4ffa-95e4-c6ad107e2491 | lama | 1 | pengiriman
23446911-0a2c-49aa-9167-fb4708a2fead | bocor | 2 | kemasan
23446911-0a2c-49aa-9167-fb4708a2fead | pecah | 2 | kemasan
23446911-0a2c-49aa-9167-fb4708a2fead | tumpah | 1 | kemasan
a3920547-6698-40cf-ae28-40e88c17e44f | lelet | 1 | pengiriman
92c3133f-4bc8-4469-b450-617ecbff1b42 | lama | 1 | pengiriman
92c3133f-4bc8-4469-b450-617ecbff1b42 | bocor | 1 | kemasan
5bb41ca7-c781-4f69-b2b5-7da329414db9 | salah | 1 | kualitas produk
6bd90246-786a-43f3-b22c-508fa6fda269 | penyok | 2 | kemasan
54d26321-d294-4aeb-a075-0ab787d2c86b | lengket | 1 | kualitas produk
e0cd4437-6f09-47d1-a6aa-be92a2afdb08 | penyok | 1 | kemasan
e3c6698a-cae5-424d-b3c0-c748046238d7 | penyok | 1 | kemasan
5167ecf8-2e4c-4848-b86b-8da356d77c13 | bocor | 1 | kemasan
0d696c1d-b62f-46f6-b3b5-ac9311d97554 | lama | 1 | pengiriman
f1969079-7f99-4a1e-9434-2e79d9291f7f | lama | 1 | pengiriman
85f039cb-5582-4080-84ad-5a3b921f42b5 | sesuai | 1 | kualitas produk
94628559-8197-42bb-b124-5b9b291bbe2f | lama | 1 | pengiriman
9c70ff8a-6468-4483-ae09-2edb35365ec3 | lama | 1 | pengiriman
b113214a-8311-4c68-94ec-41456d02a062 | lama | 1 | pengiriman
75679710-fd33-4429-9b4c-81ecc7ad9f49 | rapi | 1 | kualitas produk
75679710-fd33-4429-9b4c-81ecc7ad9f49 | mahal | 1 | harga
75679710-fd33-4429-9b4c-81ecc7ad9f49 | cocok | 1 | kualitas produk
88097aa9-af16-496d-b71c-4f8a15a9b4ef | lama | 1 | pengiriman
41aed052-a9c5-440f-9ef2-415e01b0cf56 | beda | 1 | kualitas produk
01a67523-934c-424b-a0d5-8ef3073438a5 | sesuai | 1 | kualitas produk
01a67523-934c-424b-a0d5-8ef3073438a5 | lama | 1 | pengiriman
01a67523-934c-424b-a0d5-8ef3073438a5 | kecewa | 1 | pelayanan
d02afcd2-03f9-43b7-932d-87c738830804 | salah | 2 | kualitas produk
df77108b-0169-46a1-a1ab-911f1e76f295 | rapih | 1 | kualitas produk
df77108b-0169-46a1-a1ab-911f1e76f295 | robek | 1 | kemasan
cd4889f9-c79c-4893-bd43-b3ba1a5bd7b6 | salah | 1 | kualitas produk
cd4889f9-c79c-4893-bd43-b3ba1a5bd7b6 | sesuai | 1 | kualitas produk
9d9665f2-ed66-4358-8452-c58d8b3fa15e | lama | 1 | pengiriman
9d9665f2-ed66-4358-8452-c58d8b3fa15e | beda | 1 | kualitas produk
9d9665f2-ed66-4358-8452-c58d8b3fa15e | kecewa | 1 | pelayanan
9d9665f2-ed66-4358-8452-c58d8b3fa15e | lambat | 1 | pengiriman
5519f175-d1b5-41b3-bbb0-c3f397351bbf | salah | 2 | kualitas produk
f9b71ab0-9492-4b41-834c-676a00f99518 | beda | 1 | kualitas produk
f9b71ab0-9492-4b41-834c-676a00f99518 | lama | 1 | pengiriman
5ed1b802-dbd2-44e8-b020-6c92c835d3b3 | basi | 1 | kualitas produk
4ba58abe-b2bb-41f2-864f-1d004b51f3a2 | beda | 1 | kualitas produk
34c9e63e-5db0-4b00-879f-0689b9f8de8d | kecewa | 1 | pelayanan
6bb5019c-2165-44c1-88a5-edb9972ca5dd | beda | 1 | kualitas produk
3c768e50-43ad-41e4-984a-5be308100227 | lama | 1 | pengiriman
3c768e50-43ad-41e4-984a-5be308100227 | penyok | 1 | kemasan
e1eaadd4-4a40-4b3e-93c6-34e2fa2af5d1 | penyok | 2 | kemasan
e1eaadd4-4a40-4b3e-93c6-34e2fa2af5d1 | kotor | 1 | kualitas produk
e1eaadd4-4a40-4b3e-93c6-34e2fa2af5d1 | rusak | 1 | kemasan
60b92999-8330-4cba-96c7-177bf03cf4c2 | bocor | 1 | kemasan
60b92999-8330-4cba-96c7-177bf03cf4c2 | kecewa | 1 | pelayanan
1fba0373-6881-4e03-a658-1b7917650195 | bocor | 2 | kemasan
1fba0373-6881-4e03-a658-1b7917650195 | kotor | 2 | kualitas produk
a6378ab6-13dc-4af4-bc2b-25c4ecbe1a8c | expired | 2 | kualitas produk
a6378ab6-13dc-4af4-bc2b-25c4ecbe1a8c | lama | 2 | pengiriman
f3c42a82-e576-4472-b957-8d7769c0cdcc | bocor | 1 | kemasan
7b682032-1c02-4177-9502-f6ea99b85c42 | salah | 1 | kualitas produk
04552624-d38b-4983-84be-cf0e0668d49a | beda | 1 | kualitas produk
15677e6c-7ed4-4dca-92cf-f7b9c14ed053 | lama | 1 | pengiriman
876c4f12-10cf-4faa-b8ae-a578c6b30528 | lama | 1 | pengiriman
475021db-6cbb-4ab8-aaad-47e9be94749c | salah | 2 | kualitas produk
475021db-6cbb-4ab8-aaad-47e9be94749c | lama | 1 | pengiriman
475021db-6cbb-4ab8-aaad-47e9be94749c | beda | 1 | kualitas produk
475021db-6cbb-4ab8-aaad-47e9be94749c | kecewa | 1 | pelayanan
a5c02c9c-2e4c-4bb9-ac05-93bac8cddce9 | sampe | 1 | pengiriman
a5c02c9c-2e4c-4bb9-ac05-93bac8cddce9 | beda | 1 | kualitas produk
b1b2e869-25e4-4adc-b913-40f5d35382ed | rusak | 1 | kemasan
5eff5eb2-d9cf-48ac-80da-72561286f12e | kotor | 1 | kualitas produk
5eff5eb2-d9cf-48ac-80da-72561286f12e | kecewa | 1 | pelayanan
e700808b-d400-4801-9b12-bed67c5f24be | salah | 1 | kualitas produk
e700808b-d400-4801-9b12-bed67c5f24be | beda | 1 | kualitas produk
e700808b-d400-4801-9b12-bed67c5f24be | rusak | 1 | kemasan
e700808b-d400-4801-9b12-bed67c5f24be | sesuai | 1 | kualitas produk
e700808b-d400-4801-9b12-bed67c5f24be | kecewa | 1 | pelayanan
8aa0b2b7-eb2b-4278-bdfc-131d605a9181 | kotor | 1 | kualitas produk
56fccc14-a397-4a2a-a1f8-4a146e529df8 | lama | 1 | pengiriman
2e074762-8d88-4f2c-a058-65d0dc8331b6 | licin | 2 | kualitas produk
a4d9e0fd-7b99-4b07-b819-e5e35b575466 | hancur | 1 | kualitas produk
a4d9e0fd-7b99-4b07-b819-e5e35b575466 | kecewa | 1 | pelayanan
b048e91a-9e18-4911-9e2d-dbcf424801f8 | beda | 1 | kualitas produk
b048e91a-9e18-4911-9e2d-dbcf424801f8 | rapih | 1 | kualitas produk
b048e91a-9e18-4911-9e2d-dbcf424801f8 | sampe | 1 | pengiriman
b048e91a-9e18-4911-9e2d-dbcf424801f8 | rapi | 1 | kualitas produk
2b2c15b3-0eaf-44f8-aee9-5f49773dc86b | rusak | 1 | kemasan
2b2c15b3-0eaf-44f8-aee9-5f49773dc86b | lama | 1 | pengiriman
2b2c15b3-0eaf-44f8-aee9-5f49773dc86b | salah | 1 | kualitas produk
4e97c3ba-4e70-4fff-ade7-f90d7fa7c5f0 | salah | 1 | kualitas produk
9cf42ce6-c937-4dc5-937b-03030bbc9cac | kotor | 1 | kualitas produk
c556e6ba-d3b4-4e59-af9f-c17134f93d55 | rusak | 1 | kemasan
c556e6ba-d3b4-4e59-af9f-c17134f93d55 | lama | 1 | pengiriman
35e50fad-a4eb-47c5-a461-0db1fbc7124b | salah | 1 | kualitas produk
88aa212c-bc47-4517-9578-81288970c938 | lama | 1 | pengiriman
88aa212c-bc47-4517-9578-81288970c938 | penyok | 1 | kemasan
7986593c-3a5f-4a56-8aed-e089b2a6b36d | salah | 1 | kualitas produk
0b76a644-4431-4746-bf30-cfdda65685d6 | enak | 1 | kualitas produk
0b76a644-4431-4746-bf30-cfdda65685d6 | fresh | 1 | kualitas produk
8d34f9f6-2db4-43c8-967d-2a957509d0e2 | kecewa | 1 | pelayanan
ccf8efce-e4f8-4b40-a16f-99c4e4def117 | bocor | 1 | kemasan
99ccf88a-3a3f-4da2-acaa-6089e4a9035d | marah | 1 | pelayanan
ac33786c-fbcc-4998-8465-ba1257e798f1 | lama | 1 | pengiriman
49b6b802-13f6-4c09-afa7-e9daed72ca9b | penyok | 3 | kemasan
49b6b802-13f6-4c09-afa7-e9daed72ca9b | sesuai | 1 | kualitas produk
6f62173a-7e03-4147-b703-bcf3d1b5c0ae | salah | 2 | kualitas produk
c3c5ee2f-a956-46bb-81ac-abcc6259ae95 | hancur | 1 | kualitas produk
c3c5ee2f-a956-46bb-81ac-abcc6259ae95 | kecewa | 1 | pelayanan
fd83aa7e-6d8a-4400-9733-e7485beff5ee | beda | 2 | kualitas produk
fd83aa7e-6d8a-4400-9733-e7485beff5ee | mahal | 1 | harga
fd83aa7e-6d8a-4400-9733-e7485beff5ee | lama | 1 | pengiriman
659ebb4b-95e1-443d-b476-4c7c6288cece | terlambat | 2 | pengiriman
659ebb4b-95e1-443d-b476-4c7c6288cece | berbau | 1 | kualitas produk
659ebb4b-95e1-443d-b476-4c7c6288cece | kecewa | 1 | pelayanan
65962b5b-d120-4b65-b8df-20c151f548c5 | lama | 2 | pengiriman
65962b5b-d120-4b65-b8df-20c151f548c5 | kecewa | 1 | pelayanan
76ea77f3-363f-43f5-9094-bbed1bcf4bab | beda | 1 | kualitas produk
96c39b34-908f-4e9a-872f-969092847da2 | rusak | 1 | kemasan
d7cdc6a5-d993-446c-b425-052602a7a9f2 | lama | 1 | pengiriman
10b847d0-5ef8-453f-a16e-e4bdbdb8bbd5 | terlambat | 1 | pengiriman
59ea75cc-d3f5-42df-8d7d-e8f141fca933 | lama | 2 | pengiriman
59ea75cc-d3f5-42df-8d7d-e8f141fca933 | kecewa | 1 | pelayanan
59ea75cc-d3f5-42df-8d7d-e8f141fca933 | berbau | 1 | kualitas produk
fcfc3a4e-d588-42d4-aef9-dadce63d76d2 | pecah | 1 | kemasan
fcfc3a4e-d588-42d4-aef9-dadce63d76d2 | berbau | 1 | kualitas produk
fcfc3a4e-d588-42d4-aef9-dadce63d76d2 | bocor | 1 | kemasan
fcfc3a4e-d588-42d4-aef9-dadce63d76d2 | sampe | 1 | pengiriman
a58d9ba0-4f70-4436-9d4a-041f43883e58 | salah | 1 | kualitas produk
8001bcfb-e974-4b2d-b946-542098c8c9ab | lambat | 2 | pengiriman
8001bcfb-e974-4b2d-b946-542098c8c9ab | terlambat | 1 | pengiriman
b6db3875-76fa-49f4-b659-7f36fdeb0a18 | enak | 1 | kualitas produk
68a32ee2-8038-4621-9360-19ad88384604 | lambat | 1 | pengiriman
834e0d96-7cbd-4173-81b1-21c4e7c69a8a | sesuai | 1 | kualitas produk
0eb780b2-21e2-40a3-8fbb-854cd9d78172 | salah | 1 | kualitas produk
f06028cb-8ef8-4da1-a06b-2279e0aa926e | cocok | 1 | kualitas produk
49dbe44c-41f8-4202-b069-9cc9682131c8 | kecewa | 1 | pelayanan
49dbe44c-41f8-4202-b069-9cc9682131c8 | bocor | 1 | kemasan
70ab5eb7-0350-4d35-ba39-cae0e349153c | lama | 1 | pengiriman
70ab5eb7-0350-4d35-ba39-cae0e349153c | sesuai | 1 | kualitas produk
70ab5eb7-0350-4d35-ba39-cae0e349153c | berbeda | 1 | kualitas produk
88f38d61-b072-4f81-94ff-1ac0bfcff191 | beda | 1 | kualitas produk
d16aacdf-186c-44e8-b25e-07682bc1e71e | salah | 1 | kualitas produk
9b954694-095f-4fb7-a3d0-40b050f43843 | sesuai | 1 | kualitas produk
a167f5b5-6983-4e03-8e0c-01704038e099 | hancur | 2 | kualitas produk
a167f5b5-6983-4e03-8e0c-01704038e099 | sampe | 1 | pengiriman
6856342a-4ffd-47e7-a9a0-a9bc83a67c5f | penyok | 4 | kemasan
6856342a-4ffd-47e7-a9a0-a9bc83a67c5f | rusak | 1 | kemasan
746ba928-193a-4254-8bfb-97a8c8413f65 | lama | 2 | pengiriman
746ba928-193a-4254-8bfb-97a8c8413f65 | expired | 1 | kualitas produk
746ba928-193a-4254-8bfb-97a8c8413f65 | rusak | 1 | kemasan
4ad16abb-a5b1-4afa-8f16-7846dbdbc1c7 | rusak | 1 | kemasan
4ad16abb-a5b1-4afa-8f16-7846dbdbc1c7 | lambat | 1 | pengiriman
06d3aa79-f74f-48c8-b2a9-dad49064cf28 | kecewa | 1 | pelayanan
eba656f6-3629-4939-a557-ff29d995bbc0 | menyengat | 1 | pelayanan
eba656f6-3629-4939-a557-ff29d995bbc0 | kecewa | 1 | pelayanan
3f780197-f93c-46d7-b77d-0074753d2fbb | lama | 2 | pengiriman
201292f4-b9e1-4d7a-9c91-36c615554565 | bagus | 1 | kualitas produk
201292f4-b9e1-4d7a-9c91-36c615554565 | lama | 1 | pengiriman
6599fc0d-c2bd-4e30-a784-5babca711a15 | rusak | 1 | kemasan
6599fc0d-c2bd-4e30-a784-5babca711a15 | basi | 1 | kualitas produk
b65441d5-86e1-4eb3-81c0-48d1c57f5339 | salah | 1 | kualitas produk
11a29700-0c96-4927-bc61-9fae92d50592 | sesuai | 1 | kualitas produk
11a29700-0c96-4927-bc61-9fae92d50592 | kecewa | 1 | pelayanan
11a29700-0c96-4927-bc61-9fae92d50592 | lama | 1 | pengiriman
7620cf06-3b5d-4be8-a5ba-6efad79dc5e8 | lambat | 1 | pengiriman
9773f1ee-c396-4324-8273-2aa4b50c357e | menyengat | 1 | pelayanan
9773f1ee-c396-4324-8273-2aa4b50c357e | apek | 1 | kualitas produk
9773f1ee-c396-4324-8273-2aa4b50c357e | sedap | 1 | kualitas produk
e43fea5a-3f97-4876-998a-c8779d7c67c2 | lama | 2 | pengiriman
345682a5-5dec-40ca-a28d-4bd1eca5367e | lama | 1 | pengiriman
4c8e38d1-0117-4ded-8705-bd0644c344ec | fresh | 1 | kualitas produk
4c8e38d1-0117-4ded-8705-bd0644c344ec | lama | 1 | pengiriman
4c8e38d1-0117-4ded-8705-bd0644c344ec | kirim | 1 | pengiriman
4b83e3d9-81bf-4d5a-9bfd-f570f7eadb1f | beda | 1 | kualitas produk
4b83e3d9-81bf-4d5a-9bfd-f570f7eadb1f | sesuai | 1 | kualitas produk
e97b87d6-62e9-4edc-9326-6583b64b4c06 | salah | 1 | kualitas produk
e97b87d6-62e9-4edc-9326-6583b64b4c06 | rusak | 1 | kemasan
e1470c3e-3460-4735-bbb5-977784ff9631 | salah | 1 | kualitas produk
961e5327-78d5-4d32-9cab-2f9a0c1a637b | terlambat | 2 | pengiriman
961e5327-78d5-4d32-9cab-2f9a0c1a637b | berbau | 1 | kualitas produk
961e5327-78d5-4d32-9cab-2f9a0c1a637b | kecewa | 1 | pelayanan
f367faa7-def6-4f91-93bb-7c3e468fd93b | lama | 1 | pengiriman
c3c2d6e5-f55c-4c0a-93d1-7c2fcb76bd38 | expired | 1 | kualitas produk
a9163e2a-f351-4270-993d-68e2144a6dec | hancur | 1 | kualitas produk
a9163e2a-f351-4270-993d-68e2144a6dec | rusak | 1 | kemasan
229c5109-f1ef-4082-90ae-8be3e519e1b7 | sesuai | 1 | kualitas produk
229c5109-f1ef-4082-90ae-8be3e519e1b7 | mahal | 1 | harga
229c5109-f1ef-4082-90ae-8be3e519e1b7 | lama | 1 | pengiriman
